2734|112|What was the conclusion of the study ?| In both bat species, the strongest antiviral responses were countered by the virus spreading more quickly from cell to cell. This suggests that bat immune defenses may drive the evolution of faster transmitting viruses, and while bats are well protected from the harmful effects of their own prolific viruses, other creatures like humans are not.|2020-08-13 03:00:05
1753|94|On what does the antibody  response to phage depend on?|MyD88 signaling and is modulated by stimulation of several Toll-like receptors (Hashiguchi et al., 2010) , indicating that innate immunity plays an important |2020-08-13 03:00:51
5191|102|What was found in the lungs of the control mice in this study?|severe pneumonitis|2020-08-13 03:00:18
596|67|What is the relationship between the outbreak of HPAI H5N1 like diseases and rice cultivation?| extent of rice cultivation is a risk factor, mainly due its association with free ranging ducks acting as scavengers|2020-08-13 03:00:03
304|146|Why would real  case fatality rate for the H7N9 be lower than detected rate?|most people usually think a common cold is a very common and normal occurrence, and they don't take flu-like illnesses seriously. In most situations, they would just stay home and take some medicines. Only those who have very severe flu-like symptoms would see doctors, and thereby be detected and diagnosed, accordingly the real case fatality rate should be much lower|2020-08-13 03:00:42
5235|20|How does gemcitabine disrupt viral activity?|by targeting the salvage pathway of pyrimidine biosynthesis|2020-08-13 03:00:04
3988|129|What does infection of respiratory viruses cause?|disruption of tight junctions with the resulting increased rate of viral infiltration. This also increases the chances of allergens coming into contact with airway immune cells.|2020-08-13 03:00:57
2737|112|What cells demonstrate idiosyncratic interferon response?|RoNi/7.1 (Rousettus aegyptiacus) cells|2020-08-13 03:00:20
3834|135|As of 5 March 2020, what  are the cases in the WHO European region?|there are 4,250 cases including 113 deaths reported among 38 countries|2020-08-13 03:00:41
566|22|What accounts for the variation of codon usage among open reading frameworks?|mutational pressure and translational selection|2020-08-13 03:00:31
1208|87|What is a key factor in managing emerging infectious disease threats?|transparent sharing of information between countries and agencies|2020-08-13 03:00:07
5228|49|What enzyme is essential for the metabolism of fatty acids?|isocitrate lyase|2020-08-13 03:00:31
1893|139|Who release the time series data from 10th  to 20th January 2020?|y released by the Wuhan Municipal |2020-08-13 03:00:28
4470|84|How is the the precursor form GPC processed, during virus maturation?|a membrane -bound protease into Gn and Gc, a cleavage that occurs|2020-08-13 03:00:01
2997|5|What regulates the broad, but less specific, virus-cell interaction in a hepatitis B infection?|heparan sulfates in the membrane proteins|2020-08-13 03:00:00
848|131|What is Belgium's estimated mean percentage [95% credible interval] of total population infected as of 28th March?|3.7% [1.3%-9.7%]|2020-08-13 03:00:40
2173|39|How frequently do pertussis outbreaks peak?|every 2 to 4 years|2020-08-13 03:00:11
4142|136|What  do  tristetraprolin and AUF1, do?|promote degradation of AU-rich element (ARE)-containing mRNA|2020-08-13 03:00:29
3804|135|What was the overall aim of the surveillance?| to support the global strategy of containment of COVID-19 with rapid identification and follow-up of cases linked to affected countries in order to minimise onward transmission.|2020-08-13 03:00:45
2139|26|What leads to oxidative stress in the body?|production of ROS|2020-08-13 03:00:31
3462|69|What proportion reported distress?|[71.5%|2020-08-13 03:00:30
