3842|135|Why are serological tests vital?|to understand the proportion of cases who are asymptomatic.|2020-08-13 04:00:49
5193|12|How is exhaled breath condensate used in viral research?|the isolation of respiratory viruses|2020-08-13 04:00:01
2158|80|What is the recovery benefit of carageenan in patients with any respiratory virus?|1.9 day faster recovery from common cold symptoms than placebo treated patients in the intention-to-treat population|2020-08-13 04:00:00
5241|57|What is the conclusion of the study?|glycyrrhizin might also serve as lead structure for the development of novel anti-influenza drugs|2020-08-13 04:00:07
4558|84|What potential mechanism,  could be presumed to underlie the pathogenesis of HCPS?| Innate immune mechanisms.|2020-08-13 04:00:48
1105|138|Which virus samples  from the 1918 swine flu pandemic have been identified?|pandemic Virus samples we haveyet identiﬁed are from second-wave patients|2020-08-13 04:00:22
1225|71|How many different pathogens are members of the Flaviviridae family of virus?|70|2020-08-13 04:00:18
5218|14|What are the symptoms of H5N1 infection in humans?|fever, encephalitis, pneumonia, and severe acute respiratory syndrome (SARS)|2020-08-13 04:00:00
845|85|What are important criteria for selecting vaccine delivery vectors?|long-lasting cellular and (where appropriate) humoral immune responses to the vectored antigen must be induced following administration of these vaccines, preferably with a single dose|2020-08-13 04:00:22
3850|137|What assay played an important role?|reverse transcription polymerase chain reaction (RT-PCR)|2020-08-13 04:00:46
1879|139|What  is likely increase of the reporting rate after the 17th January 2020?|reased 21-fold (95% CI: 18|2020-08-13 04:00:12
559|19|How does gender influence MERS-COV infection?| MERS-CoV infects males more than females|2020-08-13 04:00:48
2150|80|How many deaths occur annually as a result of annual influenza epidemics?|250,000 to 500,000|2020-08-13 04:00:33
2188|144|When was the second COVID19 case reported in the US?|January 24, 2020|2020-08-13 04:00:45
918|3|What is the molecular structure of bovine coronavirus?|single-stranded, linear, and nonsegmented RNA|2020-08-13 04:00:29
4405|74|Among whom are the coronaviruses distributed?| among humans, birds, livestock, mice, bats, and other wild animals |2020-08-13 04:00:07
5199|12|What percentage of the patients were between 20 and 30 years old in this study?|52%|2020-08-13 04:00:46
1651|105|What is an example of an improved vaccine regime?|a vectored influenza virus vaccine that expresses the HA, NA and M and/or NP proteins for the two currently circulating influenza A subtypes and both influenza B strains so that vaccine take and vaccine antigen levels are not an issue in inducing protective immunity|2020-08-13 04:00:31
